task_id,category,time_period,news_group,task_index,total_samples_in_category,samples_used_for_tasks,support_size,query_size,positive_ratio,avg_news_age,cold_samples_used,hot_samples_used
period1_cold_task0,period1_cold,1,cold,0,245,245,32,32,0.59375,-2.721025642361111,,
period1_cold_task1,period1_cold,1,cold,1,245,245,32,32,0.6875,-4.307960243055556,,
period1_cold_task2,period1_cold,1,cold,2,245,245,32,32,0.34375,-11.003293072916666,,
period2_cold_task0,period2_cold,2,cold,0,1804,1804,32,32,0.0625,1.083603394097222,,
period2_cold_task1,period2_cold,2,cold,1,1804,1804,32,32,0.28125,0.9888097048611111,,
period2_cold_task2,period2_cold,2,cold,2,1804,1804,32,32,0.0,0.9199459461805556,,
period2_cold_task3,period2_cold,2,cold,3,1804,1804,32,32,0.09375,0.8954034374999998,,
period2_cold_task4,period2_cold,2,cold,4,1804,1804,32,32,0.125,1.393585729166667,,
period2_cold_task5,period2_cold,2,cold,5,1804,1804,32,32,0.125,1.2396313020833332,,
period2_cold_task6,period2_cold,2,cold,6,1804,1804,32,32,0.15625,0.994809548611111,,
period2_cold_task7,period2_cold,2,cold,7,1804,1804,32,32,0.03125,1.3957693489583334,,
period2_cold_task8,period2_cold,2,cold,8,1804,1804,32,32,0.125,1.2539322743055554,,
period2_cold_task9,period2_cold,2,cold,9,1804,1804,32,32,0.125,0.5472954947916667,,
period2_cold_task10,period2_cold,2,cold,10,1804,1804,32,32,0.0625,-0.08829328125000013,,
period2_cold_task11,period2_cold,2,cold,11,1804,1804,32,32,0.15625,0.9747208940972222,,
period2_cold_task12,period2_cold,2,cold,12,1804,1804,32,32,0.125,1.331517282986111,,
period2_cold_task13,period2_cold,2,cold,13,1804,1804,32,32,0.0625,1.0793341145833333,,
period2_cold_task14,period2_cold,2,cold,14,1804,1804,32,32,0.09375,1.3263065364583333,,
period2_cold_task15,period2_cold,2,cold,15,1804,1804,32,32,0.125,0.8639267968750001,,
period2_cold_task16,period2_cold,2,cold,16,1804,1804,32,32,0.15625,0.6623994097222222,,
period2_cold_task17,period2_cold,2,cold,17,1804,1804,32,32,0.03125,0.7966390798611112,,
period2_cold_task18,period2_cold,2,cold,18,1804,1804,32,32,0.09375,-0.44254789930555527,,
period2_cold_task19,period2_cold,2,cold,19,1804,1804,32,32,0.0625,1.047047092013889,,
period2_cold_task20,period2_cold,2,cold,20,1804,1804,32,32,0.125,-1.0749763628472224,,
period2_cold_task21,period2_cold,2,cold,21,1804,1804,32,32,0.125,-0.012417204861111197,,
period2_cold_task22,period2_cold,2,cold,22,1804,1804,32,32,0.03125,1.0406941927083335,,
period2_cold_task23,period2_cold,2,cold,23,1804,1804,32,32,0.0625,0.8735608767361112,,
period2_cold_task24,period2_cold,2,cold,24,1804,1804,32,32,0.03125,0.28466081597222237,,
period2_cold_task25,period2_cold,2,cold,25,1804,1804,32,32,0.15625,1.157558671875,,
period2_cold_task26,period2_cold,2,cold,26,1804,1804,32,32,0.03125,0.8216561631944445,,
period2_cold_task27,period2_cold,2,cold,27,1804,1804,32,32,0.0625,0.8466506336805557,,
period3_cold_task0,period3_cold,3,cold,0,24729,2500,32,32,0.0625,1.5106966059027778,,
period3_cold_task1,period3_cold,3,cold,1,24729,2500,32,32,0.125,1.7154934722222221,,
period3_cold_task2,period3_cold,3,cold,2,24729,2500,32,32,0.09375,1.551826935763889,,
period3_cold_task3,period3_cold,3,cold,3,24729,2500,32,32,0.125,1.2430667881944446,,
period3_cold_task4,period3_cold,3,cold,4,24729,2500,32,32,0.03125,1.4655440885416666,,
period3_cold_task5,period3_cold,3,cold,5,24729,2500,32,32,0.09375,-0.08084197048611108,,
period3_cold_task6,period3_cold,3,cold,6,24729,2500,32,32,0.03125,1.4407721440972223,,
period3_cold_task7,period3_cold,3,cold,7,24729,2500,32,32,0.15625,-1.1025046614583336,,
period3_cold_task8,period3_cold,3,cold,8,24729,2500,32,32,0.125,1.2899916666666669,,
period3_cold_task9,period3_cold,3,cold,9,24729,2500,32,32,0.0625,1.3787274739583335,,
period3_cold_task10,period3_cold,3,cold,10,24729,2500,32,32,0.09375,1.3373029340277776,,
period3_cold_task11,period3_cold,3,cold,11,24729,2500,32,32,0.15625,1.2676288628472223,,
period3_cold_task12,period3_cold,3,cold,12,24729,2500,32,32,0.0625,1.409499236111111,,
period3_cold_task13,period3_cold,3,cold,13,24729,2500,32,32,0.125,1.3292436371527778,,
period3_cold_task14,period3_cold,3,cold,14,24729,2500,32,32,0.03125,1.2278224652777776,,
period3_cold_task15,period3_cold,3,cold,15,24729,2500,32,32,0.03125,1.3090287934027778,,
period3_cold_task16,period3_cold,3,cold,16,24729,2500,32,32,0.15625,0.9149784027777779,,
period3_cold_task17,period3_cold,3,cold,17,24729,2500,32,32,0.125,1.3587634375,,
period3_cold_task18,period3_cold,3,cold,18,24729,2500,32,32,0.0625,1.4795951822916669,,
period3_cold_task19,period3_cold,3,cold,19,24729,2500,32,32,0.03125,1.3594497743055558,,
period3_cold_task20,period3_cold,3,cold,20,24729,2500,32,32,0.125,1.7304099392361112,,
period3_cold_task21,period3_cold,3,cold,21,24729,2500,32,32,0.0625,1.3724092708333333,,
period3_cold_task22,period3_cold,3,cold,22,24729,2500,32,32,0.125,1.4812653385416668,,
period3_cold_task23,period3_cold,3,cold,23,24729,2500,32,32,0.125,1.5426912152777779,,
period3_cold_task24,period3_cold,3,cold,24,24729,2500,32,32,0.0625,1.3669088454861111,,
period3_cold_task25,period3_cold,3,cold,25,24729,2500,32,32,0.125,1.9133483072916664,,
period3_cold_task26,period3_cold,3,cold,26,24729,2500,32,32,0.0625,1.512712543402778,,
period3_cold_task27,period3_cold,3,cold,27,24729,2500,32,32,0.0625,1.418333967013889,,
period3_cold_task28,period3_cold,3,cold,28,24729,2500,32,32,0.0625,1.6632296614583333,,
period3_cold_task29,period3_cold,3,cold,29,24729,2500,32,32,0.125,0.6024065364583333,,
period3_cold_task30,period3_cold,3,cold,30,24729,2500,32,32,0.09375,1.0931786545138888,,
period3_cold_task31,period3_cold,3,cold,31,24729,2500,32,32,0.125,1.2664245138888888,,
period3_cold_task32,period3_cold,3,cold,32,24729,2500,32,32,0.1875,1.3748946180555555,,
period3_cold_task33,period3_cold,3,cold,33,24729,2500,32,32,0.15625,1.450778142361111,,
period3_cold_task34,period3_cold,3,cold,34,24729,2500,32,32,0.03125,1.2843800781249999,,
period3_cold_task35,period3_cold,3,cold,35,24729,2500,32,32,0.125,1.4033077951388888,,
period3_cold_task36,period3_cold,3,cold,36,24729,2500,32,32,0.1875,1.5225607986111114,,
period3_cold_task37,period3_cold,3,cold,37,24729,2500,32,32,0.125,1.4496067881944446,,
period3_cold_task38,period3_cold,3,cold,38,24729,2500,32,32,0.09375,1.406395815972222,,
period4_cold_task0,period4_cold,4,cold,0,36448,2500,32,32,0.0625,1.7353863975694446,,
period4_cold_task1,period4_cold,4,cold,1,36448,2500,32,32,0.21875,1.6635832986111112,,
period4_cold_task2,period4_cold,4,cold,2,36448,2500,32,32,0.125,1.6753663194444446,,
period4_cold_task3,period4_cold,4,cold,3,36448,2500,32,32,0.1875,1.5822111892361113,,
period4_cold_task4,period4_cold,4,cold,4,36448,2500,32,32,0.28125,1.7747398003472221,,
period4_cold_task5,period4_cold,4,cold,5,36448,2500,32,32,0.09375,1.6599587413194443,,
period4_cold_task6,period4_cold,4,cold,6,36448,2500,32,32,0.21875,1.7971451302083332,,
period4_cold_task7,period4_cold,4,cold,7,36448,2500,32,32,0.15625,1.5820427777777777,,
period4_cold_task8,period4_cold,4,cold,8,36448,2500,32,32,0.21875,1.79371390625,,
period4_cold_task9,period4_cold,4,cold,9,36448,2500,32,32,0.125,1.6048444270833333,,
period4_cold_task10,period4_cold,4,cold,10,36448,2500,32,32,0.21875,1.7014055815972222,,
period4_cold_task11,period4_cold,4,cold,11,36448,2500,32,32,0.1875,1.8119433159722225,,
period4_cold_task12,period4_cold,4,cold,12,36448,2500,32,32,0.21875,1.6618364756944444,,
period4_cold_task13,period4_cold,4,cold,13,36448,2500,32,32,0.1875,1.5067401909722222,,
period4_cold_task14,period4_cold,4,cold,14,36448,2500,32,32,0.125,1.9619532118055556,,
period4_cold_task15,period4_cold,4,cold,15,36448,2500,32,32,0.3125,1.4633381423611111,,
period4_cold_task16,period4_cold,4,cold,16,36448,2500,32,32,0.09375,1.5813200694444445,,
period4_cold_task17,period4_cold,4,cold,17,36448,2500,32,32,0.125,1.7909136805555557,,
period4_cold_task18,period4_cold,4,cold,18,36448,2500,32,32,0.15625,1.7424629427083334,,
period4_cold_task19,period4_cold,4,cold,19,36448,2500,32,32,0.28125,0.7950875347222223,,
period4_cold_task20,period4_cold,4,cold,20,36448,2500,32,32,0.34375,0.7678519791666667,,
period4_cold_task21,period4_cold,4,cold,21,36448,2500,32,32,0.09375,1.0006393229166668,,
period4_cold_task22,period4_cold,4,cold,22,36448,2500,32,32,0.21875,1.5238697222222224,,
period4_cold_task23,period4_cold,4,cold,23,36448,2500,32,32,0.09375,1.539449548611111,,
period4_cold_task24,period4_cold,4,cold,24,36448,2500,32,32,0.1875,1.858938784722222,,
period4_cold_task25,period4_cold,4,cold,25,36448,2500,32,32,0.09375,1.768086189236111,,
period4_cold_task26,period4_cold,4,cold,26,36448,2500,32,32,0.25,1.6236484635416666,,
period4_cold_task27,period4_cold,4,cold,27,36448,2500,32,32,0.3125,1.6309857204861111,,
period4_cold_task28,period4_cold,4,cold,28,36448,2500,32,32,0.34375,1.794966796875,,
period4_cold_task29,period4_cold,4,cold,29,36448,2500,32,32,0.25,1.6477469878472224,,
period4_cold_task30,period4_cold,4,cold,30,36448,2500,32,32,0.1875,1.3744115104166665,,
period4_cold_task31,period4_cold,4,cold,31,36448,2500,32,32,0.125,1.8359071006944445,,
period4_cold_task32,period4_cold,4,cold,32,36448,2500,32,32,0.0625,1.4853628211805556,,
period4_cold_task33,period4_cold,4,cold,33,36448,2500,32,32,0.1875,1.6396565885416665,,
period4_cold_task34,period4_cold,4,cold,34,36448,2500,32,32,0.25,1.862585625,,
period4_cold_task35,period4_cold,4,cold,35,36448,2500,32,32,0.1875,1.8990681510416667,,
period4_cold_task36,period4_cold,4,cold,36,36448,2500,32,32,0.1875,0.7521393055555556,,
period4_cold_task37,period4_cold,4,cold,37,36448,2500,32,32,0.15625,1.5025074565972223,,
period4_cold_task38,period4_cold,4,cold,38,36448,2500,32,32,0.25,1.6083493229166665,,
period5_cold_task0,period5_cold,5,cold,0,34515,2500,32,32,0.09375,1.3470688888888889,,
period5_cold_task1,period5_cold,5,cold,1,34515,2500,32,32,0.125,1.8219384548611113,,
period5_cold_task2,period5_cold,5,cold,2,34515,2500,32,32,0.125,1.402136779513889,,
period5_cold_task3,period5_cold,5,cold,3,34515,2500,32,32,0.03125,1.5985558940972222,,
period5_cold_task4,period5_cold,5,cold,4,34515,2500,32,32,0.15625,1.0060338194444445,,
period5_cold_task5,period5_cold,5,cold,5,34515,2500,32,32,0.125,1.5539164062500002,,
period5_cold_task6,period5_cold,5,cold,6,34515,2500,32,32,0.0625,1.376830894097222,,
period5_cold_task7,period5_cold,5,cold,7,34515,2500,32,32,0.03125,1.395999296875,,
period5_cold_task8,period5_cold,5,cold,8,34515,2500,32,32,0.09375,1.504797092013889,,
period5_cold_task9,period5_cold,5,cold,9,34515,2500,32,32,0.15625,1.337874357638889,,
period5_cold_task10,period5_cold,5,cold,10,34515,2500,32,32,0.28125,1.5795299045138889,,
period5_cold_task11,period5_cold,5,cold,11,34515,2500,32,32,0.1875,1.734553185763889,,
period5_cold_task12,period5_cold,5,cold,12,34515,2500,32,32,0.125,1.2446373003472222,,
period5_cold_task13,period5_cold,5,cold,13,34515,2500,32,32,0.15625,1.7264064322916666,,
period5_cold_task14,period5_cold,5,cold,14,34515,2500,32,32,0.125,-0.2964956076388887,,
period5_cold_task15,period5_cold,5,cold,15,34515,2500,32,32,0.09375,1.1259879427083335,,
period5_cold_task16,period5_cold,5,cold,16,34515,2500,32,32,0.125,1.5134864756944444,,
period5_cold_task17,period5_cold,5,cold,17,34515,2500,32,32,0.15625,1.6110568576388888,,
period5_cold_task18,period5_cold,5,cold,18,34515,2500,32,32,0.125,1.9174707899305554,,
period5_cold_task19,period5_cold,5,cold,19,34515,2500,32,32,0.25,1.2256723871527777,,
period5_cold_task20,period5_cold,5,cold,20,34515,2500,32,32,0.125,1.500797890625,,
period5_cold_task21,period5_cold,5,cold,21,34515,2500,32,32,0.125,0.6885315451388889,,
period5_cold_task22,period5_cold,5,cold,22,34515,2500,32,32,0.125,1.340472578125,,
period5_cold_task23,period5_cold,5,cold,23,34515,2500,32,32,0.1875,1.563045182291667,,
period5_cold_task24,period5_cold,5,cold,24,34515,2500,32,32,0.125,1.8367653906249999,,
period5_cold_task25,period5_cold,5,cold,25,34515,2500,32,32,0.25,1.5003256684027777,,
period5_cold_task26,period5_cold,5,cold,26,34515,2500,32,32,0.25,1.492203342013889,,
period5_cold_task27,period5_cold,5,cold,27,34515,2500,32,32,0.15625,1.3531605815972223,,
period5_cold_task28,period5_cold,5,cold,28,34515,2500,32,32,0.21875,1.1121732465277776,,
period5_cold_task29,period5_cold,5,cold,29,34515,2500,32,32,0.09375,1.7314484027777777,,
period5_cold_task30,period5_cold,5,cold,30,34515,2500,32,32,0.15625,1.455078984375,,
period5_cold_task31,period5_cold,5,cold,31,34515,2500,32,32,0.0625,1.2509589322916668,,
period5_cold_task32,period5_cold,5,cold,32,34515,2500,32,32,0.1875,0.9914219791666667,,
period5_cold_task33,period5_cold,5,cold,33,34515,2500,32,32,0.15625,1.4301253298611112,,
period5_cold_task34,period5_cold,5,cold,34,34515,2500,32,32,0.1875,1.585811050347222,,
period5_cold_task35,period5_cold,5,cold,35,34515,2500,32,32,0.1875,1.5854260156250002,,
period5_cold_task36,period5_cold,5,cold,36,34515,2500,32,32,0.15625,0.6245211545138887,,
period5_cold_task37,period5_cold,5,cold,37,34515,2500,32,32,0.15625,1.3524419010416666,,
period5_cold_task38,period5_cold,5,cold,38,34515,2500,32,32,0.21875,1.6722088888888889,,
period6_cold_task0,period6_cold,6,cold,0,37153,2500,32,32,0.09375,1.6038440364583333,,
period6_cold_task1,period6_cold,6,cold,1,37153,2500,32,32,0.1875,1.679160798611111,,
period6_cold_task2,period6_cold,6,cold,2,37153,2500,32,32,0.125,-1.0160488368055556,,
period6_cold_task3,period6_cold,6,cold,3,37153,2500,32,32,0.03125,1.431701032986111,,
period6_cold_task4,period6_cold,6,cold,4,37153,2500,32,32,0.15625,1.651054097222222,,
period6_cold_task5,period6_cold,6,cold,5,37153,2500,32,32,0.21875,1.8543314756944445,,
period6_cold_task6,period6_cold,6,cold,6,37153,2500,32,32,0.0625,1.6825289496527778,,
period6_cold_task7,period6_cold,6,cold,7,37153,2500,32,32,0.28125,1.1977490711805556,,
period6_cold_task8,period6_cold,6,cold,8,37153,2500,32,32,0.125,1.6794526649305554,,
period6_cold_task9,period6_cold,6,cold,9,37153,2500,32,32,0.3125,0.9838245833333333,,
period6_cold_task10,period6_cold,6,cold,10,37153,2500,32,32,0.1875,1.5450091927083334,,
period6_cold_task11,period6_cold,6,cold,11,37153,2500,32,32,0.125,1.8753882378472222,,
period6_cold_task12,period6_cold,6,cold,12,37153,2500,32,32,0.125,1.708167595486111,,
period6_cold_task13,period6_cold,6,cold,13,37153,2500,32,32,0.125,1.5551685416666667,,
period6_cold_task14,period6_cold,6,cold,14,37153,2500,32,32,0.3125,0.10268206597222218,,
period6_cold_task15,period6_cold,6,cold,15,37153,2500,32,32,0.25,0.5058729774305555,,
period6_cold_task16,period6_cold,6,cold,16,37153,2500,32,32,0.21875,1.9357619270833333,,
period6_cold_task17,period6_cold,6,cold,17,37153,2500,32,32,0.3125,1.622836640625,,
period6_cold_task18,period6_cold,6,cold,18,37153,2500,32,32,0.125,0.32629656249999994,,
period6_cold_task19,period6_cold,6,cold,19,37153,2500,32,32,0.15625,1.9315980989583332,,
period6_cold_task20,period6_cold,6,cold,20,37153,2500,32,32,0.1875,-15.193920355902778,,
period6_cold_task21,period6_cold,6,cold,21,37153,2500,32,32,0.1875,1.3456825954861111,,
period6_cold_task22,period6_cold,6,cold,22,37153,2500,32,32,0.25,1.8158402517361112,,
period6_cold_task23,period6_cold,6,cold,23,37153,2500,32,32,0.1875,1.4293426996527778,,
period6_cold_task24,period6_cold,6,cold,24,37153,2500,32,32,0.25,1.742208168402778,,
period6_cold_task25,period6_cold,6,cold,25,37153,2500,32,32,0.21875,1.918823828125,,
period6_cold_task26,period6_cold,6,cold,26,37153,2500,32,32,0.1875,1.6574692274305556,,
period6_cold_task27,period6_cold,6,cold,27,37153,2500,32,32,0.25,-0.468977100694445,,
period6_cold_task28,period6_cold,6,cold,28,37153,2500,32,32,0.25,1.022546328125,,
period6_cold_task29,period6_cold,6,cold,29,37153,2500,32,32,0.15625,1.7995170920138888,,
period6_cold_task30,period6_cold,6,cold,30,37153,2500,32,32,0.25,1.626945998263889,,
period6_cold_task31,period6_cold,6,cold,31,37153,2500,32,32,0.125,1.7874658072916665,,
period6_cold_task32,period6_cold,6,cold,32,37153,2500,32,32,0.125,1.5817602256944445,,
period6_cold_task33,period6_cold,6,cold,33,37153,2500,32,32,0.125,1.8736936631944445,,
period6_cold_task34,period6_cold,6,cold,34,37153,2500,32,32,0.21875,1.5790913802083333,,
period6_cold_task35,period6_cold,6,cold,35,37153,2500,32,32,0.1875,1.6714241840277777,,
period6_cold_task36,period6_cold,6,cold,36,37153,2500,32,32,0.25,1.809468125,,
period6_cold_task37,period6_cold,6,cold,37,37153,2500,32,32,0.09375,1.7950978125,,
period6_cold_task38,period6_cold,6,cold,38,37153,2500,32,32,0.15625,1.8578843836805556,,
period7_cold_task0,period7_cold,7,cold,0,16926,2500,32,32,0.21875,1.9034016840277777,,
period7_cold_task1,period7_cold,7,cold,1,16926,2500,32,32,0.125,0.5928787673611113,,
period7_cold_task2,period7_cold,7,cold,2,16926,2500,32,32,0.09375,1.8157702604166666,,
period7_cold_task3,period7_cold,7,cold,3,16926,2500,32,32,0.25,2.0472048350694445,,
period7_cold_task4,period7_cold,7,cold,4,16926,2500,32,32,0.125,2.048379045138889,,
period7_cold_task5,period7_cold,7,cold,5,16926,2500,32,32,0.25,1.4204391319444445,,
period7_cold_task6,period7_cold,7,cold,6,16926,2500,32,32,0.21875,1.5509708333333334,,
period7_cold_task7,period7_cold,7,cold,7,16926,2500,32,32,0.09375,1.8160995052083333,,
period7_cold_task8,period7_cold,7,cold,8,16926,2500,32,32,0.15625,1.8266830295138892,,
period7_cold_task9,period7_cold,7,cold,9,16926,2500,32,32,0.0625,1.9201846701388887,,
period7_cold_task10,period7_cold,7,cold,10,16926,2500,32,32,0.09375,1.9560504861111112,,
period7_cold_task11,period7_cold,7,cold,11,16926,2500,32,32,0.09375,1.527222560763889,,
period7_cold_task12,period7_cold,7,cold,12,16926,2500,32,32,0.21875,1.9090364496527776,,
period7_cold_task13,period7_cold,7,cold,13,16926,2500,32,32,0.15625,1.710101032986111,,
period7_cold_task14,period7_cold,7,cold,14,16926,2500,32,32,0.125,1.9669086805555556,,
period7_cold_task15,period7_cold,7,cold,15,16926,2500,32,32,0.15625,1.9267090364583332,,
period7_cold_task16,period7_cold,7,cold,16,16926,2500,32,32,0.09375,1.7162231770833334,,
period7_cold_task17,period7_cold,7,cold,17,16926,2500,32,32,0.15625,1.0251295572916668,,
period7_cold_task18,period7_cold,7,cold,18,16926,2500,32,32,0.25,-0.574555737847222,,
period7_cold_task19,period7_cold,7,cold,19,16926,2500,32,32,0.1875,2.0400000694444445,,
period7_cold_task20,period7_cold,7,cold,20,16926,2500,32,32,0.09375,1.755246918402778,,
period7_cold_task21,period7_cold,7,cold,21,16926,2500,32,32,0.1875,-0.04151859375000011,,
period7_cold_task22,period7_cold,7,cold,22,16926,2500,32,32,0.21875,1.8229479947916667,,
period7_cold_task23,period7_cold,7,cold,23,16926,2500,32,32,0.1875,1.5386061892361111,,
period7_cold_task24,period7_cold,7,cold,24,16926,2500,32,32,0.09375,1.268061701388889,,
period7_cold_task25,period7_cold,7,cold,25,16926,2500,32,32,0.28125,1.3008863368055554,,
period7_cold_task26,period7_cold,7,cold,26,16926,2500,32,32,0.15625,1.6707705902777779,,
period7_cold_task27,period7_cold,7,cold,27,16926,2500,32,32,0.03125,1.7394192534722221,,
period7_cold_task28,period7_cold,7,cold,28,16926,2500,32,32,0.25,2.0792516319444445,,
period7_cold_task29,period7_cold,7,cold,29,16926,2500,32,32,0.3125,2.018984409722222,,
period7_cold_task30,period7_cold,7,cold,30,16926,2500,32,32,0.25,1.8118655902777778,,
period7_cold_task31,period7_cold,7,cold,31,16926,2500,32,32,0.125,1.8363364583333337,,
period7_cold_task32,period7_cold,7,cold,32,16926,2500,32,32,0.46875,-0.039326319444444424,,
period7_cold_task33,period7_cold,7,cold,33,16926,2500,32,32,0.21875,1.7038913802083333,,
period7_cold_task34,period7_cold,7,cold,34,16926,2500,32,32,0.125,1.4103017534722224,,
period7_cold_task35,period7_cold,7,cold,35,16926,2500,32,32,0.25,1.9953470486111111,,
period7_cold_task36,period7_cold,7,cold,36,16926,2500,32,32,0.25,1.5692558767361109,,
period7_cold_task37,period7_cold,7,cold,37,16926,2500,32,32,0.28125,-0.35417624131944436,,
period7_cold_task38,period7_cold,7,cold,38,16926,2500,32,32,0.125,1.5350954774305556,,
period0_hot_task0,period0_hot,0,hot,0,679312,5000,32,32,0.53125,16.632651927083334,2500.0,5000.0
period0_hot_task1,period0_hot,0,hot,1,679312,5000,32,32,0.4375,250.04353633680554,2500.0,5000.0
period0_hot_task2,period0_hot,0,hot,2,679312,5000,32,32,0.53125,29.556460590277776,2500.0,5000.0
period0_hot_task3,period0_hot,0,hot,3,679312,5000,32,32,0.53125,32.285528246527775,2500.0,5000.0
period0_hot_task4,period0_hot,0,hot,4,679312,5000,32,32,0.5625,32.85420123263889,2500.0,5000.0
period0_hot_task5,period0_hot,0,hot,5,679312,5000,32,32,0.40625,28.229325407986114,2500.0,5000.0
period0_hot_task6,period0_hot,0,hot,6,679312,5000,32,32,0.4375,31.64323157986111,2500.0,5000.0
period0_hot_task7,period0_hot,0,hot,7,679312,5000,32,32,0.5625,207.4232975173611,2500.0,5000.0
period0_hot_task8,period0_hot,0,hot,8,679312,5000,32,32,0.40625,305.4220420746527,2500.0,5000.0
period0_hot_task9,period0_hot,0,hot,9,679312,5000,32,32,0.5,1241.2940947222223,2500.0,5000.0
period0_hot_task10,period0_hot,0,hot,10,679312,5000,32,32,0.375,576.7323196006945,2500.0,5000.0
period0_hot_task11,period0_hot,0,hot,11,679312,5000,32,32,0.625,900.3032733072918,2500.0,5000.0
period0_hot_task12,period0_hot,0,hot,12,679312,5000,32,32,0.5625,28.659217847222223,2500.0,5000.0
period0_hot_task13,period0_hot,0,hot,13,679312,5000,32,32,0.625,26.068155477430555,2500.0,5000.0
period0_hot_task14,period0_hot,0,hot,14,679312,5000,32,32,0.5625,28.1891853125,2500.0,5000.0
period0_hot_task15,period0_hot,0,hot,15,679312,5000,32,32,0.46875,34.085731510416664,2500.0,5000.0
period0_hot_task16,period0_hot,0,hot,16,679312,5000,32,32,0.5,25.978349053819443,2500.0,5000.0
period0_hot_task17,period0_hot,0,hot,17,679312,5000,32,32,0.4375,33.93046783854167,2500.0,5000.0
period0_hot_task18,period0_hot,0,hot,18,679312,5000,32,32,0.5,27.542218151041666,2500.0,5000.0
period0_hot_task19,period0_hot,0,hot,19,679312,5000,32,32,0.59375,27.144490668402778,2500.0,5000.0
period0_hot_task20,period0_hot,0,hot,20,679312,5000,32,32,0.40625,41.56869292534722,2500.0,5000.0
period0_hot_task21,period0_hot,0,hot,21,679312,5000,32,32,0.40625,26.630877135416664,2500.0,5000.0
period0_hot_task22,period0_hot,0,hot,22,679312,5000,32,32,0.40625,40.92950953993056,2500.0,5000.0
